Client Number,Number of Data Samples,Loss Value,Selection Count,Aggregation Count
0,534,1.7323,0,0
1,166,1.8472,0,0
2,547,0.1068,1,0
3,628,1.1576,0,0
4,534,0.1895,0,0
5,292,2.0966,0,0
6,906,0.0160,0,0
7,657,1.0572,0,0
8,357,0.8335,0,0
9,188,0.4953,0,0
10,610,0.0294,0,0
11,57,0.0000,0,0
12,383,0.2188,0,0
13,122,1.3360,0,0
14,39,0.0000,0,0
15,633,0.7493,0,0
16,10,0.0000,0,0
17,64,1.3360,0,0
18,550,0.1468,0,0
19,1784,0.3002,0,0
20,521,1.8914,2,1
21,93,1.2164,0,0
22,703,0.4556,0,0
23,577,7.2947,1,0
24,131,0.7606,1,1
25,115,1.0172,0,0
26,625,0.9502,1,1
27,1452,0.0654,0,0
28,41,0.0000,0,0
29,867,0.5627,0,0
30,280,2.7054,0,0
31,511,0.2006,0,0
32,474,1.4079,1,0
33,8,0.0000,0,0
34,341,1.9684,0,0
35,177,1.0816,0,0
36,128,0.7306,1,1
37,530,1.0748,0,0
38,1729,0.0000,0,0
39,699,0.9152,1,0
40,466,0.9835,0,0
41,540,0.8429,0,0
42,39,0.0000,2,2
43,15,0.0000,1,1
44,960,0.1473,0,0
45,498,0.8401,0,0
46,219,1.6444,1,1
47,1063,0.0015,0,0
48,127,1.0891,1,1
49,367,1.5479,0,0
50,437,0.7808,0,0
51,582,0.0900,1,1
52,534,0.0030,0,0
53,507,5.0626,2,0
54,212,0.3611,0,0
55,554,1.3994,0,0
56,589,0.8330,1,0
57,189,1.2536,0,0
58,288,1.7066,1,1
59,710,1.0742,0,0
60,606,1.0114,1,0
61,495,1.2321,1,0
62,432,0.0215,0,0
63,1893,0.7588,0,0
64,1693,0.4477,1,0
65,1652,0.0672,0,0
66,502,0.9204,3,3
67,881,0.0224,1,0
68,21,0.0000,0,0
69,1359,0.2346,1,0
70,28,0.0000,1,1
71,592,1.4432,1,1
72,539,0.7970,0,0
73,486,1.9218,1,0
74,294,0.6440,0,0
75,959,0.7403,0,0
76,530,0.3937,0,0
77,694,0.7895,1,0
78,172,0.1517,0,0
79,229,2.1328,1,0
80,75,0.9779,0,0
81,145,0.5628,1,0
82,412,2.2336,0,0
83,236,2.0837,0,0
84,681,1.2056,1,1
85,627,0.0028,1,0
86,70,0.6755,0,0
87,1221,0.0851,0,0
88,788,1.5476,0,0
89,19,0.0000,1,1
90,1308,0.1067,1,0
91,439,1.1993,0,0
92,438,0.3263,0,0
93,1070,0.4194,1,0
94,276,0.8443,0,0
95,393,0.9658,0,0
96,3,0.0000,2,2
97,847,0.1357,0,0
98,322,2.5740,0,0
99,327,0.4529,0,0
